,company_name,rating,location,size,industry,street_number,street_name,town,district,state,postal_code,formatted_address,lat,lng,Gemeindeschlüsselnummer,km²,Einwohner,Landkreis,Grundstückspreise in € pro m²,"Land- und Forstwirtschaft, Fischerei (A)",Produzierendes Gewerbe (B-F),"Handel, Verkehr, Gast- gewerbe (G-I)","Erbrin- gung von Unternehmensdienstleistungen
(J-N)",Erbringung von öffentl. u. privaten Dienstleistungen (O-U),Industry with most employees,Number of Foreigners per Gemeinde,Foreigners as % of Population,Raw population Gain or Loss,Per 1000 Inhabitants,Municipality,Property tax B in 1000 euros
32,ANSON'S,4.1,Saarland,1001 to 5000 Employees,"Department, Clothing & Shoe Stores",69,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Bahnhofstraße 69, 66111 Saarbrücken, Germany",49.23631,6.992669999999999,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
33,Peek & Cloppenburg,3.6,Saarland,1001 to 5000 Employees,"Department, Clothing & Shoe Stores",44,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Bahnhofstraße 44, 66111 Saarbrücken, Germany",49.2354963,6.993894099999999,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
34,K|Lens,5.0,"Headquarters in Saarbrücken, Germany",1 to 50 Employees,Information Technology Support Services,4,Am Römerkastell,Saarbrücken,Regionalverband Saarbrücken,Saarland,66121.0,"Am Römerkastell 4, 66121 Saarbrücken, Germany",49.226577500000005,7.0208901,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
35,akko Personaldienstleistungen,3.9,Saarland,51 to 200 Employees,HR Consulting,18,Heinrich-Barth-Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115.0,"Heinrich-Barth-Straße 18, 66115 Saarbrücken, Germany",49.23876079999999,6.955459599999998,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
36,INFOMOTION,4.4,Saarland,501 to 1000 Employees,Information Technology Support Services,31,Europaallee,Saarbrücken,Regionalverband Saarbrücken,Saarland,66113.0,"Europaallee 31, 66113 Saarbrücken, Germany",49.2425499,6.989345200000001,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
37,T-Systems,4.0,Saarland,10000+ Employees,Information Technology Support Services,6,Nell-Breuning-Allee,Saarbrücken,Regionalverband Saarbrücken,Saarland,66115.0,"Nell-Breuning-Allee 6, 66115 Saarbrücken, Germany",49.2403839,6.955457000000001,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
38,Mercedes-Benz Group,4.2,Saarland,10000+ Employees,Transportation Equipment Manufacturing,1,Untertürkheimer Straße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66117.0,"Untertürkheimer Str. 1, 66117 Saarbrücken, Germany",49.21219439999999,6.975847999999999,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
39,Deutsche Kreditbank,4.2,Saarland,1001 to 5000 Employees,Banking & Lending,2,Viktoriastraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Viktoriastraße 2, 66111 Saarbrücken, Germany",49.23712399999999,6.990180700000002,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
40,C&A,3.6,Saarland,10000+ Employees,"Department, Clothing & Shoe Stores",104-108,Bahnhofstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Bahnhofstraße 104-108, 66111 Saarbrücken, Germany",49.2383623,6.991189200000001,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
41,Greencells Group,3.3,Saarland,201 to 500 Employees,Energy & Utilities,9,Betzenstraße,Saarbrücken,Regionalverband Saarbrücken,Saarland,66111.0,"Bahnhofstr. 28, Betzenstraße 9/Eingang über, 66111 Saarbrücken, Germany",49.2344422,6.995439500000001,41100.0,167.52,179634.0,RV Saarbrücken,275,107,21 412,20 730,31 533,38 149,Erbringung von öffentl. u. privaten Dienstleistungen (O-U),18 551,"19,2",-277.0,"- 1,5",Regionalverband Saarbrücken,1 666
